name,location,location_updated,review_title,review_content,date,date_updated,helpful_vote,vote_count,products_used,consumer_tips,overall_rating,service_rating,value_rating,shipping_rating,returns_rating,quality_rating
Zar K.,Canada 3 reviews 0 helpful votes,Canada,Design of sports shoes,"I recently bought 2 pairs of shoes for my kids,for school sports,I feel like their performance is boosted,becouse excellent design and now no more stinky smelly feet. Due to inner material which is porous and breathable.thanks nike",March 6 2024,6/3/2024,Helpful (0),0,"We purchase it in sports check coquitlam mall,the sales staff was not so friendly and helping for selection of shoes","Shoes,and water bottle for sports",5,5,5,5,5,5
Ronald H.,Pennsylvania 1 review 0 helpful votes,Pennsylvania,Air force mid,"The First day wearing my new air force1 The front got a big creased in it, nike is making sneakers with cheap materials now, they don't care about customers satisfaction at all, they only care about money, worse places to. Customize shoe is Rip off the same shoe can 150 to change one color, Nike charge you double",February 10 2024,10/2/2024,Helpful (0),0,"Beware of nike, cheap material, they don't care about customers, they only care about taking your hard working money",,1,1,1,1,1,1
Mona Z.,AE 1 review 1 helpful vote,AE,Nike customer service in Dubai,"Imagine that Nike in Dubai is not willing to return or change my daughter sneakers that I bought for my daughter for Eid just because the maid threw the box. I mean, they have no objection to me throwing away sneakers worth 550 dirhams, just for the sake of a box.  I don't know how a famous company like Nike has a customer service that don't try to find solutions for customers only telling them the formula of the policy only super disappointed",April 23 2024,23/4/2024,Helpful (1),1,,,1,1,1,2,1,2
Kevin L.,Georgia 1 review 1 helpful vote,Georgia,The Disloyalty of Nike.,If footlocker can give their customers a better chance of getting the most highly sorted after products then why can't Nike do the same for their customers? It leaves a bad taste in my mouth for sure every time I sit there waiting for ten am to hit the button just to get a message saying you didn't get em. I spend thousands of dollars on your products that are available to me and I feel like that should put me in front of the line. If it's going to be a thing where I have to keep going to the third-party sites paying two and three times as much to get the products I really want then I might as well just delete my SNKRS and Nike accounts and just buy fashion designers shoes from now on.,February 2 2024,2/2/2024,Helpful (1),1,,,1,0,0,0,0,0
Tiffany F.,Ohio 1 review 1 helpful vote,Ohio,App nor website ever works to purchase,When they have sales I'm never able to do an order online for days so I go to the app so the app consistently says not responding so I call nike and they refuse to honor anything especially if the sale ended 1 minute prior but u can have days or weeks of proof of. The website and app not working and they don't care I believe this is set up this way cuz when there's not a great sale going on they work just fine.,May 20 2023,20/5/2023,Helpful (1),1,,I didnt buy anything the website wouldn't let me and after days of trying I realized they had an app so I downloaded it and it kept saying not responding and took like 27 mins to get to checkout and as I was putting in my card info it put shoes back to normal price so went from 67 to 93 and I said screw it and called Nike and they wouldn't fix it or honor it and said the sale ended 3 minutes prior but it didn't matter I had almost a week of proof of records trying to buy,1,1,1,1,1,1
Linda A.,Australia 1 review 1 helpful vote,Australia,Nike Highpoint,"What a wonderful store! Manager Aidan, was a respectful, articulate and extremely helpful young man. It's lovely to see, that customer service definitely exists in this store!. Great team... Thank you",August 9 2023,9/8/2023,Helpful (1),1,,,5,0,0,0,0,0
Maurice H.,Michigan 1 review 0 helpful votes,Michigan,Divorcing Nike,I've been with Nike forever and I will never order from there again my shoes has a scratch that was sent like that and they want me to send em back for refund and they will give me a 15% promo. But they don't have the shoe and I've waiting for months. I can never get exclusive releases and I spent so much with Nike. I'll just get my shoes from specialty stores. Nike never resolves $#*!. All the $#*!ING money I spend for you to treat your customers like $#*!. Shoes come out box with a scuff,December 20 2021,20/12/2021,Helpful (0),0,Don�t become a loyal customer cause they won�t be a loyal consumer.,"Shoes, clothes",1,1,5,1,5,1
Aya M.,Texas 1 review 15 helpful votes,Texas,C*******476 Despicable Customer Satisfaction,"I received my order today, shoes clearly are defective. I called Nike.com and the representative declined the 25% discount, because returning is not an option we return to Paris. Instead stated we do not give discounts. I asked if I could provide photos and she said the item must be returned to the warehouse for inspection. The experience is enough for me to never purchase Nike again and will be sure to share my experience on a vast scale.",December 5 2019,5/12/2019,Helpful (15),15,,,1,0,0,0,0,0
Annie Y.,Oregon 1 review 6 helpful votes,Oregon,They don't compensate any lost packages and they tell you by email. Very poor customer service.,"\We can no longer initiate any carrier investigations or provide any further courtesies for packages sent to you\"" is what Nike emails you after you call customer service about any lost packages. This happens to me twice with FedEx for Nike orders in the past 3 months. Both Nike and FedEx said I should contact the other because they are not responsible for lost packages. Nike never tries to help. Very poor and unreliable customer service. Be sure to pay with credit cards to dispute transactions with banks for merchants you never received.""",July 6 2023,6/7/2023,Helpful (6),6,,,1,1,0,1,0,1
David P.,California 1 review 1 helpful vote,California,Retro customer jilted bad as reward for 40 years loyalty hurt bad inside.,"I loved Nikes since I first saw them forty plus years ago. I been a loyal and dedicated fan and customer four fifths of my life. I have purchased hundreds of pairs in my life and Jordan's, Nike and Converse for decades and am a vip customer at Nike.com. Today I bought a valentines gift card for my girl and she hated it. Five min later I called and got told I was s!&& out of luck forty years of loyalty and they couldn't refund my money no matter what I said to them. I'm beside myself with rage knowing I helped make these jerks rich being loyal to the point of exclusive to this company. I have spent 100s of thousands on these clothes only to be sniffed and made to choke down this gift card for 125 bucks. I'm so furious that I'm not even using it period I will never as long as I am alive. Forty years of spending here only to be told it don't matter j I will never use this brand again. Choking down the gidts",February 15 2024,15/2/2024,Helpful (1),1,,,1,0,0,0,0,0
Vicki H.,Illinois 1 review 0 helpful votes,Illinois,Done with Nike shoes,"This is the second pair of Nike shoes that have fallen apart that I bought my son in 1 year. The first pair the eyelets for the shoe lace ripped. Yes ripped so you could not tie the shoe. Several of them. When got looking it looks like cardboard under the fabric. My son likes Nike so we bought another pair in 3 months the whole sole split in half. These are basketball shoes, so 3 months is not long when he wore then 4 times in Sept, for a camp. Then he just started basketball for the school and they split before the 1st game. He wore them maybe, 20 times. Theses shoes were $150.00 each pair. We have bought Nike for all 4 of my kids and will not buy them any more. Even worse they don't stand buy there shoe when they fail. Sorry Nike you lost my confidence in your product.",July 6 2022,6/7/2022,Helpful (0),0,,,1,0,1,0,1,1
James P.,Rhode Island 1 review 1 helpful vote,Rhode Island,"Quality Shoes, Egregious Service","Excellent quality of shoes but it is beyond my comprehension how the largest sneaker manufacturer on the planet takes 6-8 weeks to process and deliver shoes that are advertised as in stock. Zero issues getting the same exact products from Finish Line or Foot Locker so spare us the supply chain excuse, its two years old- how about holding your distribution centers accountable. Word to the wise- pay more ordering outside Nike and consider it a frustration fee, at least you will have your order in the same season.",September 11 2022,11/9/2022,Helpful (1),1,"Go to Foot Locker or Finish Line, Nike direct is a mistake.",Shoes,1,1,4,1,1,4
Ty y.,Arkansas 1 review 4 helpful votes,Arkansas,"Racist, anti-America cowards",,July 4 2019,4/7/2019,Helpful (4),4,,,1,0,0,0,0,0
Brenda C.,Minnesota 3 reviews 0 helpful votes,Minnesota,Damaged goods no refund,,December 22 2022,22/12/2022,Helpful (0),0,,,1,0,0,0,0,0
Sam N.,Florida 1 review 1 helpful vote,Florida,Your guess is as good as theirs,"Don't order anything that you need in a specific frame. My past two orders sat at the facility ready to be picked up for days without explanation. Every time I contacted them, they could provide no explanation! You can't get any help until your expected delivery date has passed. Regarding why it shows ready for pick up and doesn't ship…they may have well said your guess is as good as mine! Will NOT order again.",August 11 2023,11/8/2023,Helpful (1),1,Completely unreliable. Like throwing your money in the wind,Shoes,1,1,2,1,1,0
Ramon D.,North Carolina 3 reviews 1 helpful vote,North Carolina,Exclusive access still didnt get shoe,Ive been a nike member for sometime now never won any drawings 49 drawings entered. Never got exclusive access until today i receive a email stating i have exclusive access 5/6 12:00pm. I called nike at 11:57 am ask them what to do i was told not to worry just be on app at 12 pm they had a pair reserved for member only exclusive access. I enter all my information before 12:01 then it says my name is put into drawing. I contacted nike customer service spoken with 9 different people no one help me. They did me very shady on this release stay away people they are all for resellers and bots,May 7 2021,7/5/2021,Helpful (1),1,Just stay away to save your time energy and headaches,,3,0,0,0,0,0
Mikael A.,Florida 1 review 0 helpful votes,Florida,Good,I always order at nike.com what I like. I am also sure that everything will be good. But this time I was waiting for my order a little bit longer than usual. But it didn't stop me from enjoying the purchase.,July 19 2021,19/7/2021,Helpful (0),0,,,4,4,4,5,4,5
Den S.,New Jersey 1 review 0 helpful votes,New Jersey,Good,This shop is good. I found here a lot of interesting things. And also I want to add that my first order here came to me very fast and everything was ok with it. Now I'm looking for the next pair of sneakers here.,October 1 2021,1/10/2021,Helpful (0),0,,,4,5,4,5,4,4
Lynn A.,Hawaii 1 review 0 helpful votes,Hawaii,"Never, ever buy Nike gift cards!","I purchased a large amount of gift cards prior to Christmas as presents. The gift cards were used prior to Christmas by a scammer. I provided Nike with the receipt for the gift cards with numbers, they have told me that they expect law enforcement to find the scammer for Nike to consider giving us a credit. What responsibility does Nike have to either not sell gift cards or take measures to reduce how scammers can easily scam Nike gift cards? Apparently, none to Nike. The consumer is definitely NOT a priority to this company. Do not buy Nike!",January 30 2024,30/1/2024,Helpful (0),0,,,1,0,0,0,0,0
Derrick B.,Canada 2 reviews 2 helpful votes,Canada,Nike Renew,"Never buy these shoes. I had an older pair bought over 2 years ago. Changed my mind about other brands i liked. Bought a new pair just over 2 months ago. Nike doesn't cover the squeaking noise obviously coming from the spongy material on the bottom of shoe as per video i uploaded. I'm standing on carpet. Contracted nike online help and they said it would be covered if i called the proper dept. Called and they told me nothing can be done, that's not covered. Crappy made shoe obviously.",September 21 2023,21/9/2023,Helpful (1),1,,Shoes. Bought from sports chek but only able to return in 30 days i believe this was 2 months.,2,3,3,0,0,2
Rafael M.,California 2 reviews 0 helpful votes,California,Air Force 1s,"Hi it's Rafael!  I just posted \how to style: air force 1s | summer '21 outfit ideas!\"" on my YouTube channel: Rafael Mendoza!  I love these shoes! They are very trendy and can be worn with any color scheme. I am a size 9 1/2. This shoe is also very durable and breathable. Perfect for the summer! I have had these shoes for over a year and have not noticed any distress. My only complaint is that the shoe runs a bit large. But overall",July 17 2021,17/7/2021,Helpful (0),0,,,5,0,0,0,0,0
Xenia K.,Canada 1 review 1 helpful vote,Canada,So sad,,May 14 2023,14/5/2023,Helpful (1),1,,,5,0,0,0,0,0
Dale G.,Australia 2 reviews 0 helpful votes,Australia,Overall good experience!,"Overall good experience, when you are buying Nike shoe's quality is guaranteed, for every use, I would say especially sports. Delivery could be a little bit faster but I only waited a couple days more than I expected, so no big deal.",October 18 2022,18/10/2022,Helpful (0),0,,,4,4,0,4,0,5
Kason K.,Canada 2 reviews 3 helpful votes,Canada,Fantastic!,,April 6 2017,6/4/2017,Helpful (0),0,,,5,0,0,0,0,0
Bobby W.,Canada 1 review 1 helpful vote,Canada,If only i could give 0 stars,"Overpriced, fragile products that last maybe a year if your gentle with them. They're destroying their own brand even be alienating their customers and supporting sexist messages in there advertisement.",April 8 2023,8/4/2023,Helpful (1),1,,"pants, shoes",1,1,1,1,1,1
Marek V.,Slovenia 7 reviews 2 helpful votes,Slovenia,Adore nike,"Not only have this company been producing convenient sneakers for different purposes for a very, very long period, but also their tracksuits are my fav ones! Delivery is seamless, stuff is always on time, why the hell I should attend offline stores, hm? ;) It's pointless!",August 6 2023,6/8/2023,Helpful (0),0,,,5,5,5,5,5,5
Boitumelo M.,South Africa 1 review 1 helpful vote,South Africa,Lack of communication,Bought a pair of sneakers online 6 days later no delivery nor email response. Claiming free delivery which is not true had to pay a good R250 for so called handling fees. Ridiculous service for such an elite brand.,August 17 2023,17/8/2023,Helpful (1),1,,,1,1,0,1,0,0
Charles W.,North Carolina 1 review 13 helpful votes,North Carolina,Overpriced Products,"I haven't bought Nike shoes in years because their overpriced and their clothing is only good to buy at a discount although they don't hold up any better than my other clothing. Just can't support a company who give a contract to a man that supports Fidel Castro, who killed and murdered his own people to get control of a country that had missiles aimed at the United States for decades. Think cops are bad here, go try your protest in Cuba.",September 5 2018,5/9/2018,Helpful (13),13,,,1,0,0,0,0,0
Manpreet K.,Canada 1 review 2 helpful votes,Canada,Worst customer service,"I ordered one pair of shoes and have been waiting for them for over a month. When I spoke with their customer care representative, they indicated they had no idea what I was talking about. At the very least, pay closer attention to your service area.",June 20 2023,20/6/2023,Helpful (2),2,"Worst customer service, you lost one client today, and you will lose many more if you do not pay more attention to the customer service department",Nike air force 1,1,1,1,1,1,1
Lynn B.,South Carolina 1 review 1 helpful vote,South Carolina,TERRIBLE,,October 1 2018,1/10/2018,Helpful (1),1,,,1,0,0,0,0,0
SHAYTIANA R.,KR 17 reviews 53 helpful votes,KR ,ALWAYS A GREAT EXPERIENCE.,"It's always a good experience with Nike.com.  I recently purchased the Nike Air Force 1s in white and the shipping was within the quoted 14 business days.  The packaging could have been better since the box seemed to have received a few hits in the corners but it's nothing I care too much about as long as the actual items are okay.  The website and checking out process was easy and quick since I have an account. I also like the fact that with Nike.com, you're able to return/exchange the items in store if needed.  The shoes themselves, came in perfect condition. No scratches, marks, or dents. Squeaky clean white and true to size. Overall, 10/10.",December 21 2020,21/12/2020,Helpful (4),4,,,5,5,5,5,5,5
Michael W.,California 1 review 0 helpful votes,California,Bad valve on balls/Horrible Customer Support,"Nike has a problem with their valve on their soccer balls. Our club have bought hundred of these and similar Nike soccer balls and 3 in 10 leak. Customer service at Nike is horrible. They do everything they can to give you the runaround and avoid standing behind their products. We attempted to return to Nike unused brand new balls that would not hold air. After multiple phone calls, poor communication from Nike the claim was denied. Nike should be embarassed. If you have other options avoid Nike",November 24 2021,24/11/2021,Helpful (0),0,Consider other products other than Nike,,1,1,1,4,1,2
Abdelhamid L.,Canada 1 review 0 helpful votes,Canada,Bad experience,"I ordered two months ago sandals and when it came it is two different pairs ( one big & one small) never seen this before, I return it and now waiting for another after no signs in one month they told me today that they will refund me without any appreciation of my patience and never reimbursement, i spent a whole summer and getting nothing at the end. Really awfull and not liable Boutique",July 18 2022,18/7/2022,Helpful (0),0,,,1,1,1,1,1,1
Thereza N.,California 1 review 0 helpful votes,California,Worst experience I have ever had,"I have never had a worst experience buying online in my life! I paid with apple pay and the website did not read my apartment number on my delivery address. They shipped the item with the wrong address and I contacted them everyday since UPS says only the sender can update the address. They told me several times that the issue would be fixed and escalated to their elite team, yesterday I talked to another representative and they told me all people before him lied and nothing was escalated and no one was doing anything to fix the issue. Worst brand and customer service I've ever ver dealt with! Be aware before buying from them. They definitely do NOT care about their customers and just want your money!",December 17 2020,17/12/2020,Helpful (0),0,,,1,0,0,0,0,0
William B.,Pennsylvania 6 reviews 1 helpful vote,Pennsylvania,Military Discount Denial,"Nike's military discount has deteriorated over the years. It started at 20%, then to 10% and now they created a policy to DENY it. For a company worth $151 BILLION, how could this discount affect profits? It reminds me of the BATE and SWITCH. You honor Veterans SOMETIMES!",February 9 2024,9/2/2024,Helpful (0),0,,,1,5,1,0,0,0
Terry H.,Canada 2 reviews 0 helpful votes,Canada,Everything always arrives on time,"Very comfortable shoes, stylish clothes. The staff are always friendly. I live in madrid. There are very few of your shops here, it's more convenient to order online. Everything always arrives on time",September 19 2021,19/9/2021,Helpful (0),0,,,5,0,0,0,0,0
Nils T.,Sweden 1 review 1 helpful vote,Sweden,Nike uses cheap material bad return policy,Bought a pair of Jordans in a Nike Store in Dubai Mall. One year later after very little use the product is obviously defective with flaws in the material on top. Called Nike in Sweden and the man asks me if they were broke when I bought them? Of course not. Nike has started to use cheap material to earn more and now they refuse to take them back.They were around 150 USD and you think you should be able to walk in them for a year a couple of days a month?,September 21 2023,21/9/2023,Helpful (1),1,,,1,0,0,0,1,1
Faye D.,New York 1 review 1 helpful vote,New York,Totally disappointed,"I ordered a pair of sneakers for my sons first day of school and they came worn.they said this never happens and they could give me a full refund but I had to mail the shoes back …mind you the shoes came in the mail on a Saturday and his first day of school was that Monday, it's no way they would receive them in time to give me my refund so I could buy him a fresh pair of sneakers …unbelievable since when are they selling used shoes",August 27 2023,27/8/2023,Helpful (1),1,,shoes,1,4,3,5,1,0
Tiffany H.,GB 1 review 0 helpful votes,GB,Shocking customer service,I ordered from Nike and waited 2 and a half weeks for my order even though I chose faster delivery. And when I spoke with them on several separate occasions through chat and over the phone I got told something different each time. They said there is nothing they can do about my order I have to wait another 10 days to see if it gets delivered then only can they process a refund. It had already been over 2 weeks by this point. Apparently my order got stuck at the warehouse. Then after I spoke to them they delayed my order on purpose so I didn't get it for even longer. Very rude service you get nowhere with them.,September 5 2022,5/9/2022,Helpful (0),0,,,1,0,0,0,0,0
Summer C.,West Virginia 1 review 0 helpful votes,West Virginia,DOUBLE CHARGED THEN SAID THEY COULDN'T STOP IT,I would give zero stars if I could. Nike has the worst customer service ever! They double charged me yesterday. I called today and told them the money came out of my account twice and the man who clearly wasn't named Landon but said he was put me on hold seven times and kept coming back saying the same thing. That I needed to call within 30 minutes to cancel an order! I told him I only made one order and that I wanted to keep the one order but that they needed to refund the second withdrawal from my account. I asked for a supervisor then put me on hold 3 more times and then he said that no one would answer him when he tried for a supervisor and that I need to wait and see if I receive two seperate orders of the same shoes! And then send them back myself! I am so upset. I will never buy from Nike again!,October 31 2022,31/10/2022,Helpful (0),0,"If you plan on buying from Nike, you better be on the lookout for them to duplicate your order or charge you twice. And if you don't cancel it within 30 minutes, the outsourced customer service wont be able to fix it. Even though it was their mistake. I will never buy from Nike again",shoes,1,1,0,1,1,0
Jonathan M.,Tennessee 1 review 2 helpful votes,Tennessee,Nike is full of bs,"I've been trying to win shoes that I love for Nike for over a year now, haven't hit on a single drop I have entered. I have spent my whole life buying this brand. It's just sad that all the money I spend with them, I can't ever get lucky enough to hit on the shoes I actually want. $#*! Nike for real, like how is it fair that ppl can use bots and get like 10-50 pairs at once but I can't hit one. $#*! you nike suck a $#*!! I hope y'all read this $#*!",February 2 2022,2/2/2022,Helpful (2),2,,,1,0,0,0,0,0
Stephen M.,California 1 review 17 helpful votes,California,Nike-Hope you go out of business,"Why don't you just move what part of your company thats still left in the US. Move it to some third world country where you can pay slave wages. I will never buy any of your products again. I will also talk to anyone that I know, and ask them not to purchase any of your products also. Take the useless Ex football player with you. You are an unbelievable $#*! company. I hope some of these sports stars, and companies decide to quit doing business with you. A negative number would be better.",July 4 2019,4/7/2019,Helpful (17),17,,,1,0,0,0,0,0
Dan L.,New Zealand 1 review 4 helpful votes,New Zealand,Rubbish Service,"After many years of being loyal Nike customers, we have just bought the last product we will ever buy from them. It's not just that the product is defective, more importantly, Nike NZ does not have a phone number and they do not respond to emails- we have posted the shoes to them nearly a month ago and no response- absolutely terrible service and not sure we will even get our shoes back. Contacted Nike.com and told there is nothing they can do re; Nike NZ- obviously not interested in protecting their brand worldwide either",September 18 2017,18/9/2017,Helpful (4),4,,,1,0,0,0,0,0
Stuff m.,GB 1 review 10 helpful votes,GB,Gone from great to rubbish,,January 19 2019,19/1/2019,Helpful (10),10,,,1,0,0,0,0,0
Ms D.,Florida 1 review 0 helpful votes,Florida,Always canceling my order,"Every time I order from site they cancel my order. I call and the person send me to email and say please reply back to email to find why order is cancelled. The email responds please check your billing and shipping address are accurate or the same. Obviously I know where I live. Try the purchase again three days later cancelled. It's been going on for two months same results… NOWHERE! Oh that's a lie they increased my price by $10.00. They did not say oh well since you been trying to get this order we will keep it for you at the same price of the original attempt of purchase. I even said would you like me to send a copy of my license via email. They do not respond back after the first response of email. Listen everybody shop at \Fight Club\"". You get what you want and fast. They package well and the price is cheaper than the NIKE store. I am so done with the NIKE store. Zero rating for me.""",November 11 2023,11/11/2023,Helpful (0),0,Angry with this shop!,Nothing because they keep canceling my order. Two months now and raised the price on me!,1,1,1,1,1,1
Amy C.,Ohio 1 review 0 helpful votes,Ohio,Doesn't consider people's unfortunate situations.,I accidently somehow managed to do a double order of the exact same thing. The charge went threw twice. Being I have limited funds left for my kids christmas. I had enough to purchase these items once! The rest of the money I had was suppose to go to making sure our electric was paid! Now without that money because I have to wait up to 48hrs for a response and it could be too late we may end up with our electric shut off! What a Christmas joy it will be if we stuck not able to cook or enjoy Christmas! No consideration for us struggling single parents out here. Quicker support and response is needed as well as longer extended time to cancel orders! I will not be ordering from here for a while if at all anymore! In tears all morning! Thanks for the non support right now.,December 13 2023,13/12/2023,Helpful (0),0,,,1,2,4,0,0,2
Elsa S.,Oklahoma 1 review 0 helpful votes,Oklahoma,Celebrate Authentic Women,"Dylan Is incapable of being a wife, mother or anything else an authentic woman can be. Women make houses a home, Can carry a baby and be a mother. Your woman's line will and should suffer for this incompetence. Women are quite superior to men in the first place. I hope you are flooded with similar reviews. The only thing I hate is your marketing strategy.",April 13 2023,13/4/2023,Helpful (0),0,,,1,0,0,0,0,0
liam c.,Switzerland 1 review 0 helpful votes,Switzerland,Poor communication and slow delivery,I ordered a pair of running shoes almost 2 weeks ago. I wanted delivery before my race so I could do at least one long run. You pay more for the shoes on this platform but I did not want to take a risk of ordering elsewhere as I (wrongly) assumed Nike would be best to ensure timely delivery. The estimated delivery date has been and gone. I contacted Nike and waited for an age to be told that it could take up to 8 days more for delivery. This is 21 days after my order was taken. Not cool Nike! Not cool at all.,August 29 2023,29/8/2023,Helpful (0),0,,,2,2,0,1,0,0
Rolly M.,Illinois 1 review 10 helpful votes,Illinois,"Disgusted with Nike's American Flag decision, just in time for 4th of July",,July 3 2019,3/7/2019,Helpful (10),10,,,1,0,0,0,0,0
Christy H.,Missouri 1 review 0 helpful votes,Missouri,Lost,"I've order from the Nike app 4 times now. 3 out of the 4 times I've had to reorder due to \waiting for carrier pickup\"" days after the estimated delivery date. You have to call Nike customer service and that's why they get two stars because they do reship your shoes but then it takes even longer to get them and now only half of my orders are coming and the half is \""missing\"" so now I have to reorder them again. Either someone that's working at the Nike store is stealing the packages or they're really terrible at getting the shoes out.""",June 29 2022,29/6/2022,Helpful (0),0,,,2,2,3,2,0,2
Francesca O.,New York 1 review 0 helpful votes,New York,My new pairs are great!,I love my Vapor Air Max. It's Air Max 360 cushioning is perfect for someone who plays under the basket (like me). No knee pain for me :) and it's a bit stylish too. I just need to keep it clean since it's dominantly colored white. All good. :),November 4 2022,4/11/2022,Helpful (0),0,,,5,0,5,5,0,5
Jody P.,Florida 7 reviews 3 helpful votes,Florida,Cancelled my order after 9 days,"Nike.com cancelled my order 9 days after I placed it saying the product was unavailable. Had they let me know sooner, I could have found the shoes elsewhere. Now that Black Friday has passed, they are sole out everywhere. Waiting 9 days to tell me what I ordered is unavailable is unacceptable. I will not shop at Nike.com ever again.",November 29 2021,29/11/2021,Helpful (0),0,,,1,0,0,0,0,0
Eric L.,GB 1 review 1 helpful vote,GB,Nike customer service are so rude,"I ordered three pairs of expensive trainers for my relatives birthdays. After waiting almost 2 weeks for the delivery, Nike cancelled my order. I complained to customer service who apologised anoffered me an extra 10% discount, however when I came to order they would not fulfil their promise and accused me of cancelling the original order… the audacity beggars belief",November 20 2022,20/11/2022,Helpful (1),1,,none,1,1,1,1,1,1
Tim R.,Wisconsin 1 review 0 helpful votes,Wisconsin,Nike KD 9 shoes are garbage,,April 6 2017,6/4/2017,Helpful (0),0,,,1,0,0,0,0,0
